INGREDIENTES;UND;PRECIO / UNID;RENDIMIENTO
LUBINA SALADA;Kg;4.50 А;100.00%
lychee;kg;4.25 А;100.00%
MACADAMIA;kg;15.95 А;100.00%
MACARRON FRESCO;kg;6.11 А;100.00%
MACARRONES CONCHA;kg;1.19 А;100.00%
MACARRONES PLUMA;kg;1.13 А;100.00%
MAGO CHUTNEY;kg;3.00 А;100.00%
magret de pato;unid.;11.80 А;100.00%
magret de pato cong.;kg;14.20 А;100.00%
magro de cerdo;kg;6.50 А;100.00%
maicena;kg;4.33 А;100.00%
maiz cong.;kg;2.01 А;100.00%
MAIZ DULCE;kg;0.99 А;100.00%
malta tostado;kg;2.10 А;100.00%
MALTOSA;kg;3.00 А;100.00%
mandarinas;kg;1.45 А;100.00%
manga roja;kg;4.00 А;100.00%
mango cong.;kg;2.48 А;100.00%
MANGO CONSERVA;kg;2.81 А;100.00%
mangos;kg;2.80 А;100.00%
manos de cerdo;kg;0.90 А;100.00%
manteca confitada;kg;2.27 А;100.00%
manteca de cacao;kg;23.75 А;100.00%
manteca de cerdo;kg;1.53 А;100.00%
MANTEQUILLA ;kg;4.82 А;100.00%
MANTEQUILLA CLARIFICADA;kg;10.60 А;100.00%
MANTEQUILLA PORCION;kg;0.05 А;100.00%
manzana golden ;kg;1.15 А;100.00%
manzana reineta;kg;1.85 А;100.00%
manzana roja;kg;0.70 А;100.00%
MANZANILLA;kg;10.50 А;100.00%
MANZANILLA SOBRE;SOBRE;0.04 А;100.00%
margarina croissant;kg;2.33 А;100.00%
margarina hojaldre;kg;2.33 А;100.00%
MARGARINA PORCION;kg;0.03 А;100.00%
MARRON GLASE;kg;38.83 А;100.00%
MAYONESA ;kg;1.25 А;100.00%
MAYONESA SOBRE;UNIDAD;0.03 А;100.00%
mazapan;kg;5.96 А;100.00%
MEDREGAL CONG;Kg;4.1;100.00%
MEJILLON CONG;Kg;5.20 А;100.00%
mejillon fresco;kg;5.20 А;100.00%
mejorante;kg;6.04 А;100.00%
mejorante precocinado;kg;5.30 А;100.00%
melisa;manj;0.70 А;100.00%
melocoton;kg;1.25 А;100.00%
MELOCOTON ALMIBAR;kg;0.86 А;100.00%
melon;kg;0.89 А;100.00%
MEMBRILLO;kg;3.72 А;100.00%
MEMBRILLO PORCION;UNIDAD;4.27 А;100.00%
menestra cong.;kg;0.86 А;100.00%
MENTA;MANOJO;0.50 А;100.00%
MENTA POLEO;SOBRE;0.04 А;100.00%
MERLUCILLA-PESCADILLA;Kg;6.79 А;100.00%
MERLUZA ENTERA CONG;Kg;4.90 А;100.00%
MERLUZA FILETE C/PIEL CONG;Kg;3.14 А;100.00%
MERLUZA FILETE S/PIEL CONG;Kg;3.10 А;100.00%
merluza fresco;kg;8.95 А;100.00%
mermel/gelat frambuesa-pa;kg;2.15 А;100.00%
mermel/gelat fresa-past.;kg;2.05 А;100.00%
mermel/gelat kiwi-pastel;kg;2.08 А;100.00%
mermel/gelat naranja past.;kg;3.76 А;100.00%
MERMELADA ARANDANO;kg;3.64 А;100.00%
MERMELADA DIETETICA SABORES;kg;5.10 А;100.00%
MERMELADA HOTEL PORCION;UNIDAD;0.20 А;100.00%
MERMELADA PERSONAL PORCION;UNIDAD;0.03 А;100.00%
MERMELADA SABORES;kg;2.28 А;100.00%
MERO FILETE CONG;Kg;4.85 А;100.00%
mero fresco;kg;13.90 А;100.00%
mezcla de setas;kg;0.70 А;100.00%
mezcla verduras sopa;kg;1.55 А;100.00%
micro mezclum;kg;27.00 А;100.00%
MIEL DE ABEJA;L;4.09 А;100.00%
MIEL DE CA—A;KG;6.20 А;100.00%
MIEL DE PALMA;KG;19.51 А;100.00%
MIEL DE ROMERO;KG;7.77 А;100.00%
MIEL EN PORCIONES;UNIDAD;0.20 А;100.00%
mini cono chocolate;unid.;0.57 А;100.00%
mini delicia dulce surtida;kg;3.97 А;100.00%
mini delicia salada surtida;kg;5.60 А;100.00%
MINI PEPINO CONSERVA;kg;7.08 А;100.00%
MINI PIMIENTO;kg;4.00 А;100.00%
MINIMAZORCAS;kg;3.17 А;100.00%
MISO;kg;6.00 А;100.00%
MOJO ROJO;KG;13.86 А;100.00%
mora;paq;3.55 А;100.00%
moras cong.;kg;3.71 А;100.00%
morcilla dulce;kg;3.73 А;100.00%
morcilla salada;kg;1.61 А;100.00%
morcillo-garron ternera;kg;6.00 А;100.00%
morcon;kg;19.20 А;100.00%
morena fresco;kg;8.50 А;100.00%
MORILLA DESHIDRATADA;kg;516.66 А;100.00%
mortadela;kg;5.63 А;100.00%
MOSTAZA DIJON;KG;12.23 А;100.00%
MOSTAZAFUERTE;KG;5.55 А;100.00%
mousse de pato;kg;6.67 А;100.00%
MOZATAZA DULCE;KG;10.15 А;100.00%
MOZTAZA GRANO;KG;11.91 А;100.00%
MOZTAZA SOBRE;UNIDAD;0.20 А;100.00%
MUESLI;kg;1.64 А;100.00%
muslo faisan relleno;unid.;3.40 А;100.00%
nabo blanco;kg;1.80 А;100.00%
NACHOS;kg;6.88 А;100.00%
nalga;kg;5.90 А;100.00%
naranja ;kg;1.32 А;100.00%
NATA EN ESPRAY;UNIDAD;0.95 А;100.00%
NATA LIQUIDA;L;2.45 А;100.00%
NATA MIX VEGETAL;L;2.23 А;100.00%
navajas cong.;kg;4.75 А;100.00%
necoras ;kg;8.80 А;100.00%
nectarina;kg;14.00 А;100.00%
NERANJA CONFITADA;kg;3.67 А;100.00%
niсos comunion;unid.;2.53 А;100.00%
niscalo;kg;3.00 А;100.00%
nisperos;kg;5.00 А;100.00%
NUECES CASCARA;kg;2.00 А;100.00%
NUECES PELADAS;kg;10.93 А;100.00%
NUEZ MOSCADA;KG;2.08 А;100.00%
NUEZ MOSCADA;UNIDAD;1.94 А;100.00%
сames;kg;5.40 А;100.00%
—ORAS;KG;35.00 А;100.00%
OREGANO;KG;6.09 А;100.00%
OREGANO ;MANOJO;1.00 А;100.00%
OREJONES DE ALBARICOQUE;kg;1.99 А;100.00%
OREJONES DE TOMATE;kg;18.00 А;100.00%
ossobuco;kg;5.50 А;100.00%
ossobuco cong.;kg;7.00 А;100.00%
ostras frescas ;unid.;2.00 А;100.00%
paleta cocida fiambre;kg;2.35 А;100.00%
paleta de cerdo;kg;3.27 А;100.00%
paleta ib. Bellota s/h;kg;40.54 А;100.00%
PALITOS DE CANGREJO;Kg;2.15 А;100.00%
PALMITOS;kg;2.64 А;100.00%
palomita cong.;kg;5.50 А;100.00%
PAMPANO CONG;Kg;8.95 А;100.00%
pampano fresco;kg;12.50 А;100.00%
PAN ARTEZANO;UNIDAD;0.55 А;100.00%
PAN BACADILLO;UNIDAD;0.57 А;100.00%
PAN BARRA;UNIDAD;0.57 А;100.00%
PAN CHAPATA;UNIDAD;0.13 А;100.00%
PAN CONGELADO;UNIDAD;0.05 А;100.00%
PAN GRISINI ;PAQUETE;0.68 А;100.00%
PAN HAMBURGUESA GRANDE;UNIDAD;0.22 А;100.00%
PAN HAMBURGUESA PEQUE—O;UNIDAD;0.11 А;100.00%
PAN MINI CONGELADO;UNIDAD;0.16 А;100.00%
PAN MINI TOSTADA ;BOLSA;1.36 А;100.00%
PAN MOLDE AMERICANO;UNIDAD;1.70 А;100.00%
PAN MOLDE INTEGRAL ;PAQUETE;1.40 А;100.00%
PAN MOLDE INTEGRAL C-C;PAQUETE;0.87 А;100.00%
PAN MOLDE SIN CORTEZA;PAQUETE;2.50 А;100.00%
PAN MOLDE SUPER;PAQUETE;2.20 А;100.00%
PAN NEGRO ;kg;5.00 А;100.00%
PAN PERRP CALIENTE;UNIDAD;0.18 А;100.00%
PAN PITA;kg;4.55 А;100.00%
PAN PULGA;UNIDAD;0.04 А;100.00%
PAN RALLADO;kg;0.45 А;100.00%
PAN TOSTADO INTEGRAL;PAQUETE;1.36 А;100.00%
panceta fresc.;kg;10.50 А;100.00%
panceta salada;kg;2.80 А;100.00%
PANES DE ESPECIAS;kg;5.50 А;100.00%
papa antiguas;kg;0.55 А;100.00%
papa arrugar;kg;0.82 А;100.00%
papa dado cong.;kg;1.17 А;100.00%
papa duquesa cong.;kg;1.56 А;100.00%
papa negra;kg;5.89 А;100.00%
papa parisien cong.;kg;0.80 А;100.00%
papa prefritas cong.;kg;0.79 А;100.00%
papada de cerdo;kg;2.25 А;100.00%
papaya;kg;3.10 А;100.00%
papaya cong.;kg;2.40 А;100.00%
PAPEL DE ARROZ;PAQ;6.75 А;100.00%
papel siliconado;paq.;27.00 А;100.00%
parchita;kg;6.00 А;100.00%
pareja novios;unid.;8.93 А;100.00%
pargo fresco;kg;12.90 А;100.00%
pasas sultanas;kg;2.66 А;100.00%
pasta amarena;kg;15.68 А;100.00%
pasta aroma cheescake (t);kg;14.12 А;100.00%
pasta aroma vainilla;kg;21.92 А;100.00%
pasta avellana aroma;kg;14.96 А;100.00%
pasta brick ;hoja;0.14 А;100.00%
PASTA CACAHUETE;kg;16.64 А;100.00%
pasta cereza aroma;kg;18.20 А;100.00%
pasta champan aroma;kg;19.75 А;100.00%
pasta crema mandarina;kg;11.96 А;100.00%
pasta crema mojito;kg;11.25 А;100.00%
PASTA DE ACEITUNAS;kg;13.85 А;100.00%
pasta empanadillas;kg;6.76 А;100.00%
PASTA FILO;kg;13.37 А;100.00%
pasta frambuesa aroma;kg;16.85 А;100.00%
pasta fresa aroma;kg;18.26 А;100.00%
pasta fresca ;kg;6.00 А;100.00%
pasta galletas cookies;kg;11.77 А;100.00%
pasta giandua;kg;20.45 А;100.00%
pasta kataifi;kg;12.11 А;100.00%
pasta limon aromas;kg;12.03 А;100.00%
pasta mango aroma;kg;24.70 А;100.00%
pasta maracuya aroma;kg;29.10 А;100.00%
pasta menta aroma;kg;17.00 А;100.00%
pasta moka aroma;kg;13.30 А;100.00%
pasta naranaja aroma;kg;2.33 А;100.00%
pasta piсa aroma;kg;13.13 А;100.00%
pasta platano aroma;kg;15.07 А;100.00%
pasta rollo de primavera;paq.;3.50 А;100.00%
pasta selva negra aroma;kg;24.01 А;100.00%
pasta wanton;paq.;1.75 А;100.00%
pastas te;unid.;0.09 А;100.00%
pasteleria variada;unid.;1.16 А;100.00%
pastillaje-azucar moldeable;kg;8.20 А;100.00%
pastillas regaliz;caja;4.25 А;100.00%
pata de cerdo asada;kg;1.00 А;100.00%
pata de cerdo cong.;kg;2.20 А;100.00%
pata de cerdo fresc.;kg;6.38 А;100.00%
pate restaurante;kg;4.60 А;100.00%
pato;unid.;5.95 А;100.00%
pato cong.;kg;2.75 А;100.00%
pavo entero cong.;kg;3.10 А;100.00%
pavo fresc.;kg;3.95 А;100.00%
pavo jamon;kg;3.31 А;100.00%
pavo muslo cong.;kg;3.10 А;100.00%
pavo pechuga cong.;kg;5.75 А;100.00%
pavo pechuga embutido;kg;3.85 А;100.00%
pavo pechuga fresc.;kg;5.95 А;100.00%
pavo redondo;kg;3.40 А;100.00%
peceto-filo cong.;kg;5.60 А;100.00%
peceto-filo fresc.;kg;5.95 А;100.00%
PECTINA;KG;15.62 А;100.00%
PEPINILLOS;kg;1.18 А;100.00%
pepino;kg;1.28 А;100.00%
pera;kg;1.80 А;100.00%
PERA ALMIBAR;kg;0.70 А;100.00%
PERCA FILETE CONG;Kg;5.25 А;100.00%
perdices cong. Pieza;unid.;5.15 А;100.00%
perdiz;unid.;6.50 А;100.00%
perejil ;manj;0.28 А;100.00%
PEREJIL DESIDRATADO;KG;2.06 А;100.00%
perlas oro (pasteleria);paq.;26.87 А;100.00%
perlas plata (pasteleria);kg;27.90 А;100.00%
PESCADILLA;Kg;7.25 А;100.00%
PESCADO AZUL LOMO CONG;Kg;4.00 А;100.00%
petit four blanco;unid.;0.45 А;100.00%
petit four choco;unid.;0.45 А;100.00%
PETO CONGELADO;Kg;4.80 А;100.00%
PEZ ESPADA LOMO CONG;Kg;4.68 А;100.00%
picantones cong.;unid.;3.50 А;100.00%
pichon;kg;18.93 А;100.00%
pierna aсojo fresc.;kg;5.40 А;100.00%
pierna cordero lechal des.;kg;28.00 А;100.00%
pierna/paleta cordero cong.;kg;10.90 А;100.00%
pierna/paleta de cordero;kg;6.30 А;100.00%
pierna-rueda ternera cong.;kg;5.20 А;100.00%
PIMENTON DE LA VERA;KG;9.26 А;100.00%
PIMENTON DULCE;KG;4.34 А;100.00%
PIMENTON PICANTE;KG;4.34 А;100.00%
PIMIENTA BLANCA EN GRANO;KG;20.39 А;100.00%
PIMIENTA BLANCA MOLIDA;KG;19.68 А;100.00%
PIMIENTA DE JAMAICA;KG;19.48 А;100.00%
PIMIENTA NEGRA EN GRANO;KG;10.76 А;100.00%
PIMIENTA NEGRA MLIDA;KG;13.00 А;100.00%
PIMIENTA PALMERA;KG;104.66 А;100.00%
PIMIENTA ROSA;KG;20.00 А;100.00%
PIMIENTA SONBRE;UNIDAD;0.01 А;100.00%
PIMIENTA VERDE;KG;10.32 А;100.00%
PIMIENTA VERDE EN LATA;kg;3.40 А;100.00%
pimiento amarillo;kg;2.78 А;100.00%
PIMIENTO CHORIZERO;KG;8.84 А;100.00%
pimiento cong.;kg;1.51 А;100.00%
pimiento de padron;kg;2.90 А;100.00%
pimiento italiano;kg;2.15 А;100.00%
PIMIENTO MORRON;kg;3.63 А;100.00%
PIMIENTO PIQUILLO;kg;3.63 А;100.00%
pimiento rojo;kg;2.40 А;100.00%
pimiento verde ;kg;1.60 А;100.00%
piсa cong.;kg;2.08 А;100.00%
PI—A EN ALMIBAR;kg;1.09 А;100.00%
piсa millo;unid;1.15 А;100.00%
piсa tropical;kg;3.85 А;100.00%
PI—ONES;kg;70.00 А;100.00%
PIPAS DE CALABAZA;kg;12.66 А;100.00%
PIPAS GIRASOL;kg;2.30 А;100.00%
piramide chocolate;unid.;0.94 А;100.00%
PISTACHOS PELADOS;kg;15.96 А;100.00%
pistola de res;kg;5.25 А;100.00%
PLATANO SECO;kg;0.65 А;100.00%
platanos ;kg;0.52 А;100.00%
pochas cong.;kg;7.48 А;100.00%
pollo alas cong.;kg;2.10 А;100.00%
pollo alas fresc.;kg;6.68 А;100.00%
pollo de corral;kg;3.50 А;100.00%
pollo entero cong.;kg;1.55 А;100.00%
pollo fresc.;kg;1.01 А;100.00%
pollo jamoncito;kg;1.60 А;100.00%
pollo muslo cong.;kg;1.35 А;100.00%
pollo muslo fresc.;kg;4.50 А;100.00%
pollo muslo s/h s/p;kg;2.85 А;100.00%
pollo nuggets cong.;kg;3.60 А;100.00%
pollo pechuga cong.;kg;2.40 А;100.00%
pollo pechuga empanada;kg;3.65 А;100.00%
pollo pechuga fresc.;kg;2.70 А;100.00%
pollo picanton;kg;2.99 А;100.00%
POLVO DE REGALIZ;KG;28.50 А;100.00%
polvorones;kg;5.52 А;100.00%
pomelo;kg;2.35 А;100.00%
postre individual;kg;14.47 А;100.00%
POTA CONG;Kg;4.80 А;100.00%
Praguayos ;kg;3.90 А;100.00%
praline almendra;kg;6.83 А;100.00%
praline avellana;kg;13.66 А;100.00%
presa cerdo cong.;kg;15.25 А;100.00%
presa de cerdo fresc.;kg;14.50 А;100.00%
presa de ternera fresc.;kg;11.00 А;100.00%
profiteroles;unid.;0.45 А;100.00%
puerros;kg;1.69 А;100.00%
pularda entera cong.;kg;5.45 А;100.00%
pulpa albaricoque cong.;kg;5.78 А;100.00%
pulpa coco cong.;kg;7.74 А;100.00%
PULPA DE PIMIENTO CHORIZERO;kg;8.84 А;100.00%
pulpa fresa cong.;kg;5.58 А;100.00%
pulpa frutas del bosque cong.;kg;5.28 А;100.00%
pulpa grosella cong.;kg;5.90 А;100.00%
pulpa guayaba cong.;kg;6.14 А;100.00%
pulpa higo cong. ;kg;6.94 А;100.00%
pulpa lima cong.;kg;5.75 А;100.00%
pulpa mandarina cong.;kg;8.87 А;100.00%
pulpa mango cong.;kg;6.38 А;100.00%
pulpa manzana cong.;kg;4.03 А;100.00%
pulpa maracuya cong.;kg;8.10 А;100.00%
pulpa naranja cong.;kg;6.49 А;100.00%
pulpa papaya cong.;kg;6.29 А;100.00%
pulpa pera cong.;kg;4.02 А;100.00%
pulpa piсa cong.;kg;6.11 А;100.00%
pulpa pomelo cong.;kg;8.21 А;100.00%
pulpo  fresco;kg;7.94 А;100.00%
PULPO CONG;Kg;6.20 А;100.00%
PULPO CONG;;;100.00%
PURE DE GUINDAS;kg;6.13 А;100.00%
PURE DE PAPAS;kg;1.56 А;100.00%
quesadilla;unid.;1.83 А;100.00%
QUESO AHUMADO;kg;0.51 А;100.00%
QUESO AHUMADO BARRA;kg;5.80 А;100.00%
QUESO ALMENDRA;kg;13.74 А;100.00%
QUESO ARTESANO;kg;4.55 А;100.00%
QUESO AZUL;kg;5.78 А;100.00%
QUESO BARRA;kg;2.55 А;100.00%
QUESO BRI ;kg;0.40 А;100.00%
QUESO CABRA FRESCO;kg;7.30 А;100.00%
QUESO CABRALES;kg;17.48 А;100.00%
QUESO CABRE SEMI CURADO;kg;7.60 А;100.00%
QUESO CAMBERBERT;kg;0.48 А;100.00%
QUESO CHEEDAR;kg;6.95 А;100.00%
QUESO CREMA;kg;5.22 А;100.00%
QUESO CUARADO ARICO;kg;10.52 А;100.00%
QUESO DE FLOR D.O.;kg;14.99 А;100.00%
QUESO DE OVEJA;kg;0.64 А;100.00%
QUESO EMMENTAL;kg;0.70 А;100.00%
QUESO FETA;kg;5.76;100.00%
QUESO FRESCO;kg;5.75 А;100.00%
QUESO FRESCO AHUMADO;kg;5.80 А;100.00%
QUESO GOFIO;kg;6.75 А;100.00%
QUESO GORGONSOLA;kg;6.65 А;100.00%
QUESO GOUDA;kg;3.69 А;100.00%
QUESO GRUYERE;kg;12.16 А;100.00%
QUESO HERRE—O TIERNO;kg;8.70 А;100.00%
QUESO IDIAZABAL;kg;12.76 А;100.00%
QUESO MAJORERO SEMI PIM;kg;10.61 А;100.00%
QUESO MANCHEGO;kg;5.75 А;100.00%
QUESO MASCARPONE;kg;7.40 А;100.00%
QUESO MOZARELLA;kg;5.66 А;100.00%
QUESO PARMESANO;kg;12.95 А;100.00%
QUESO PICOTA;kg;6.88 А;100.00%
QUESO PIMENTON;kg;6.75 А;100.00%
QUESO QUARK;kg;2.70 А;100.00%
QUESO RALLADO;kg;3.9;100.00%
QUESO ROQUEFORT;kg;14.23;100.00%
QUESO RULO CABRA;kg;9.26 А;100.00%
QUESO TORTA CASAR;kg;15.1;100.00%
rabadilla de ternera;kg;8.00 А;100.00%
rabanito;manj;0.75 А;100.00%
rabano;kg;0.70 А;100.00%
rabo de buey;kg;5.95 А;100.00%
rabo de vacuno;kg;6.75 А;100.00%
rape  fresco;kg;23.90 А;100.00%
RAPE COLA CONG;Kg;4.20 А;100.00%
RAVIOLI CARNE;kg;5.59 А;100.00%
REBOZADOR PAPADUM;kg;4.30 А;100.00%
REGALIZ EN RAMA;KG;10.31 А;100.00%
reina luisa;unid;0.75 А;100.00%
relleno de txangurro;kg;68.75 А;100.00%
REMOLACHA;kg;0.52 А;100.00%
reposteria;unid.;12.69 А;100.00%
reposteria sin gluten;kg;9.45 А;100.00%
REQUESON;kg;4.40 А;100.00%
riсones de cordero;kg;3.90 А;100.00%
riсones-corazon de cerdo;kg;3.00 А;100.00%
rodaballo fresco;kg;9.95 А;100.00%
ROMERO;MANOJO;0.70 А;100.00%
rucola;manj;0.70 А;100.00%
RUIBARDO;KG;5.42 А;100.00%
SACARINA;UNIDAD;;100.00%
SAKE;lts.;10.45 А;100.00%
SAL AHUMADA;KG;40.81 А;100.00%
SAL EN ESCAMAS;KG;64.16 А;100.00%
SAL ESPECIAL;KG;21.17 А;100.00%
SAL FINA;KG;0.25 А;100.00%
SAL GRUESA;KG;0.24 А;100.00%
SAL MALDON;KG;18.28 А;100.00%
SAL SOBRE;UNIDAD;0.00 А;100.00%
salami;kg;4.09 А;100.00%
salchicha alemana;kg;6.54 А;100.00%
salchicha blanca;kg;2.20 А;100.00%
salchicha bratwurts;kg;6.54 А;100.00%
salchicha coctel;kg;4.67 А;100.00%
salchicha frank.;kg;2.60 А;100.00%
salchichas parrilleras;kg;3.75 А;100.00%
salchichon;kg;3.83 А;100.00%
salchichon iberico bellota;kg;10.75 А;100.00%
SALMON AHUMADO;Kg;14.50 А;100.00%
SALMON CONG;Kg;4.00 А;100.00%
salmon fresco;kg;10.95 А;100.00%
SALMONETE;Kg;3.90 А;100.00%
salmonete fresco;kg;23.60 А;100.00%
SALSA AGRISULCE;KG;7.50 А;100.00%
SALSA DE SOJA;KG;6.61 А;100.00%
SALSA PERRYNS;UNIDAD;1.78 А;100.00%
SALSA TABASCO;BOTE;1.81 А;100.00%
SALSA TOMATE KETCHUP;KG;1.04 А;100.00%
SALVADO;kg;0.61 А;100.00%
SALVIA;MANOJO;0.85 А;100.00%
SAMA CONG;Kg;4.00 А;100.00%
sama fresco;kg;7.41 А;100.00%
sandia;kg;0.90 А;100.00%
SARDINA CONG;Kg;1.80 А;100.00%
sardina fresco;kg;2.95 А;100.00%
sardinas en conserva;kg;15.63 А;100.00%
sargo cong.;kg;3.95 А;100.00%
sargo fresco;kg;7.53 А;100.00%
secreto de cerdo;kg;15.73 А;100.00%
SEMOLA DE MAIZ(POLENTA);kg;6.76 А;100.00%
SEMOLA DE TRIGO;kg;2.36 А;100.00%
sepia fresco;kg;11.10 А;100.00%
sesamo blanco;kg;3.39 А;100.00%
SESAMO NEGRO;KG;8.33 А;100.00%
sesos de cordero;kg;7.98 А;100.00%
sesos de res;kg;2.00 А;100.00%
set aceite vinagre y sal;unidad;0.16 А;100.00%
seta granel;kg;6.55 А;100.00%
sirope sabores;unid.;2.81 А;100.00%
SOJA GERMINADA;kg;6.25 А;100.00%
solomillo 3/4 cong.;kg;13.00 А;100.00%
solomillo 3/4 refrig.;kg;18.75 А;100.00%
solomillo 4/5 cong.;kg;15.50 А;100.00%
solomillo 4/5 refrig.;kg;18.50 А;100.00%
solomillo aсojo fresc.;kg;15.00 А;100.00%
solomillo cerdo cong.;kg;6.00 А;100.00%
solomillo cerdo iberico;kg;7.95 А;100.00%
solomillo ciervo cong.;kg;24.00 А;100.00%
solomillo jabali ;kg;15.50 А;100.00%
sorbete helado;lt;0.76 А;100.00%
sumfill topfill manzana;kg;5.26 А;100.00%
super mixo (chocolate);kg;15.22 А;100.00%
surtidos;kg;19.61 А;100.00%
sucedaneo caviar negro;kg;25.94 А;100.00%
sucedaneo caviar rojo;kg;25.94 А;100.00%
sucedaneo de anguila;kg;5.75 А;100.00%
taco pescado cong.;kg;2.12 А;100.00%
taco res cong.;kg;5.60 А;100.00%
tacos de cerdo cong.;kg;3.60 А;100.00%
TAGLIATELE FRESCO;kg;7.33 А;100.00%
TALLARINES HUEVO;kg;1.17 А;100.00%
TALLARINES INTEGRALES;kg;7.92 А;100.00%
tapete para fondant;unid.;22.90 А;100.00%
tarta;kg;6.00 А;100.00%
tarta manzana;kg;7.56 А;100.00%
tartaleta dulce 39mm;unid.;0.07 А;100.00%
tartaleta salada 39mm;unid.;0.07 А;100.00%
tartaleta salada 49mm;unid.;0.08 А;100.00%
tartaleta salada surtida;unid.;0.30 А;100.00%
TE ROJO ;SOBRE;0.07 А;100.00%
TE SOBRE;kg;0.04 А;100.00%
TE VERDE;SOBRE;0.04 А;100.00%
TEMPURA;KG;1.96 А;100.00%
terrina foie;kg;30.85 А;100.00%
TILA SOBRE;kg;0.04 А;100.00%
tinta de calamar;unid;0.15 А;100.00%
tocino;kg;4.29 А;100.00%
tocino de cerdo;kg;1.25 А;100.00%
TOFU;kg;8.75 А;100.00%
tollos;kg;3.33 А;100.00%
tomate cherry;kg;4.20 А;100.00%
tomate ensalda ;kg;1.95 А;100.00%
TOMATE ENTERO;kg;0.63 А;100.00%
TOMATE FRITO;KG;0.63 А;100.00%
tomate negro;kg;3.25 А;100.00%
tomate pera;kg;1.45 А;100.00%
tomate salsa;kg;1.15 А;100.00%
TOMETE TRITURADO;kg;0.48 А;100.00%
tomillo;manj;0.70 А;100.00%
TOMILLO ;KG;0.64 А;100.00%
TORILLAS DE ARROZ;kg;6.19 А;100.00%
toronjil;manj;0.50 А;100.00%
TORTELLINI ESPINACA;kg;12.20 А;100.00%
TORTITAS DE AVENA;kg;11.68 А;100.00%
TRIGO CON MIEL;kg;2.38 А;100.00%
TRIGO FINO;kg;1.72 А;100.00%
tripa de bacalao saladas;kg;20.18 А;100.00%
TROMPETA MUERTE DESHIDRATADA;kg;41.00 А;100.00%
trucha ahumada;kg;4.10 А;100.00%
trucha asalmonada;kg;4.35 А;100.00%
TRUFA;kg;129.67 А;100.00%
tubo de calamar cong.;kg;2.50 А;100.00%
turron blando;kg;8.61 А;100.00%
turron chocolate;unid.;3.60 А;100.00%
turron de jijona;kg;6.63 А;100.00%
turron liquido;kg;9.91 А;100.00%
uva blanca ;kg;1.45 А;100.00%
uva negra;kg;1.75 А;100.00%
vaina de vainilla;kg;35.40 А;100.00%
ventresca de atun;kg;37.53 А;100.00%
vieira fresco;kg;31.70 А;100.00%
vieja fresco;kg;12.50 А;100.00%
viejas cong.;kg;6.50 А;100.00%
viejas jareadas;kg;51.25 А;100.00%
vieras cong.;kg;4.50 А;100.00%
VINAGRE AGRIDULCE;KG;38.00 А;100.00%
VINAGRE BALSAMICO;KG;;100.00%
VINAGRE BLANCO;KG;0.41 А;100.00%
VINAGRE DE ARROZ;KG;4.91 А;100.00%
VINAGRE DE JEREZ;KG;3.97 А;100.00%
VINAGRE DE MANZANA;KG;1.90 А;100.00%
VINAGRE DE MODENA ;KG;9.37 А;100.00%
VINAGRE ESTRAGON;KG;4.54 А;100.00%
VINAGRE FINAS HIERVAS;KG;4.68 А;100.00%
VINAGRE MACHO;KG;15.80 А;100.00%
VINAGRE MINIATURA 20 MML;UNIDAD;0.15 А;100.00%
VINAGRE TINTO;L;0.49 А;100.00%
viruta de chocolate;kg;10.01 А;100.00%
VIRUTA DE TRUFA;kg;72.22 А;100.00%
viruta lamina chocolate;kg;11.43 А;100.00%
vol-au-vent 34mm;unid.;0.13 А;100.00%
vol-au-vent 82mm;unid.;0.25 А;100.00%
vol-au-vent pez 60mm;unid.;0.40 А;100.00%
WASABI;TUBO;2.30 А;100.00%
YEMA LIQUIDA;kg;4.1;100.00%
YOGOUR ACTIVVIA;UNIDAD;0.29 А;100.00%
YOGOUR LIQUIDO;UNIDAD;0.19;100.00%
YOGOUR NATURAL;UNIDAD;0.17 А;100.00%
YOGOUR SABIA;UNIDAD;0.34 А;100.00%
YOGOUR SABORES;UNIDAD;0.16;100.00%
YOGOUR SABORES BIO SOJA;UNIDAD;0.23 А;100.00%
YOGOUR SABORES C-FRUTA;UNIDAD;0.28;100.00%
YOGOUR VEGETAL;UNIDAD;1.24;100.00%
YOGOUR VITALINEA;UNIDAD;0.18 А;100.00%
yogur ;kg;1.24 А;100.00%
yuca ;kg;2.30 А;100.00%
zanahoria;kg;0.63 А;100.00%
zanahoria baby congelada;kg;0.99 А;100.00%
zanahoria cong.;kg;0.67 А;100.00%
ZANAHORIA RALLADA;kg;0.47 А;100.00%
PIPARRA EN VINAGRE;KG;17.00 А;100.00%
FUMET;L;4.50 А;100.00%
VINO BLANCO;L;0.69 А;100.00%
VINO TINTO ;L;0.69 А;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
;;;100.00%
