INGREDIENTES;UND;PRECIO / UNID;RENDIMIENTO
batavia roja;kg;0.90 А;100.00%
BATIDO CACAO;UNIDAD;0.85 А;100.00%
BERBERECHO CONSERVA;Kg;17.73 А;100.00%
berenjenas ;kg;1.60 А;100.00%
berros;manj;0.75 А;100.00%
beterrada;kg;1.40 А;100.00%
bienex caramelo en polvo;kg;5.98 А;100.00%
bienmesabe;kg;8.92 А;100.00%
bife cong. Entrecot/person;kg;6.95 А;100.00%
bife cong.entrecot/restau;kg;6.20 А;100.00%
bife fresco entrecot;kg;10.50 А;100.00%
bife refrig. Entrecot;kg;8.95 А;100.00%
bife ternera lechal;kg;18.49 А;100.00%
bistec pepitos;kg;5.80 А;100.00%
bogavante cong.;kg;14.50 А;100.00%
bogavante fresco;kg;19.20 А;100.00%
bola-tapa ternera;kg;5.25 А;100.00%
BOLETUS EDULIS;kg;12.19 А;100.00%
boletus edulis ;kg;11.26 А;100.00%
BOLETUS EDULIS DESHIDRATADO;kg;48.29 А;100.00%
bolleria variada;unid.;0.10 А;100.00%
bombones;kg;24.75 А;100.00%
BONITO ACEITE;Kg;9.00 А;100.00%
bonito fresco;kg;2.95 А;100.00%
BONITO LOMO CONG;Kg;7.50 А;100.00%
BONITO MIGAS;Kg;6.51 А;100.00%
BONITO SECO LAMINAS;Kg;150.00 А;100.00%
boqueron fresco;kg;8.00 А;100.00%
BOQUERON VINAGRE;Kg;21.62 А;100.00%
BOVRIL;kg;24.38 А;100.00%
brecol;kg;1.00 А;100.00%
brevas;kg;4.80 А;100.00%
brocoli ;kg;3.80 А;100.00%
brocoli cong.;kg;1.44 А;100.00%
brotes alfalfa;paq;1.75 А;100.00%
brotes bandeja;unid;1.00 А;100.00%
BROTES DE SOJA;PAQUETE;1.85 А;100.00%
brownie chocolate;kg;12.33 А;100.00%
brownies preparados;kg;4.45 А;100.00%
bubango;kg;1.85 А;100.00%
buei cong;kg;5.75 А;100.00%
BURRO CONG;Kg;1.95 А;100.00%
burro fresco;kg;7.50 А;100.00%
busgado bigaro;kg;11.90 А;100.00%
butifarra;kg;13.48 А;100.00%
CABALLA AHUM;Kg;10.00 А;100.00%
CABALLA CONS;Kg;8.76 А;100.00%
caballa fresco;kg;2.64 А;100.00%
cabello de angel;kg;1.64 А;100.00%
cabeza de cerdo;kg;2.50 А;100.00%
cabeza de pescado fresco;kg;4.50 А;100.00%
cabra fresca;kg;4.25 А;100.00%
cabrilla fresco;kg;12.00 А;100.00%
cabrito fresco;kg;12.49 А;100.00%
CACAHUETE FRITO;kg;2.59 А;100.00%
CACAO INSTANTANEO;kg;1.64 А;100.00%
cacao polvo;kg;8.84 А;100.00%
CACAO SOBRE INSTANTANEO;UNIDAD;0.22 А;100.00%
CACAO SOBRE SIN GLUTEN;kg;0.39 А;100.00%
CAF… DESCAFEINADO;kg;8.64 А;100.00%
CAF… DESCAFEINADO GRANO;kg;9.06 А;100.00%
CAF… GRANO MARCILLA;kg;7.58 А;100.00%
calabacin;kg;0.95 А;100.00%
calabaza;kg;0.57 А;100.00%
CALAMAR AROS CONG;Kg;10.90 А;100.00%
calamar chipiron fresco;kg;4.00 А;100.00%
CALAMAR CHIPIRON LIMPIO;Kg;4.95 А;100.00%
CALAMAR ROMANA;Kg;2.99 А;100.00%
CALAMAR TUBO;Kg;14.90 А;100.00%
CALDO DE CARNE;kg;5.07 А;100.00%
CALDO DE POLLO;kg;5.36 А;100.00%
callos;kg;5.95 А;100.00%
callos cong.;kg;2.39 А;100.00%
camaron;kg;13.00 А;100.00%
CANELA EN POLVO;kg;8.77 А;100.00%
CANELA EN RAMA;kg;20.64 А;100.00%
CANELONES;kg;0.22 А;100.00%
CANELONES RELLENOS FRESCO;kg;5.90 А;100.00%
cangrejo mar;kg;11.00 А;100.00%
cangrejo rio fresco;kg;9.95 А;100.00%
canonigos ;unid;2.50 А;100.00%
canutillo chocolate;kg;17.77 А;100.00%
caqui;kg;3.00 А;100.00%
carabineros;kg;56.00 А;100.00%
CARAMELO CRISTAL;kg;4.36 А;100.00%
CARDAMOMO;kg;37.50 А;100.00%
cardos;kg;2.78 А;100.00%
CARDOS CONSERVA;kg;1.28 А;100.00%
carga gas sifon;bote;0.52 А;100.00%
carne centollo txangur;kg;40.98 А;100.00%
carne cerdo molida;kg;5.88 А;100.00%
carne molida cong.;kg;3.60 А;100.00%
carne molida fresc.;kg;5.20 А;100.00%
carne puchero;kg;3.60 А;100.00%
carne vieira ;kg;10.40 А;100.00%
carret cordero cong.;kg;8.95 А;100.00%
carret cordero fresc.;kg;11.00 А;100.00%
carret cordero lechal cong.;kg;15.00 А;100.00%
carrillera iberica cong.;kg;9.45 А;100.00%
carrillera ternera;kg;7.35 А;100.00%
carrillera V gama;kg;6.78 А;100.00%
carrilleras cerdo fresc.;kg;9.45 А;100.00%
CASTA—A DE AGUA;kg;1.50 А;100.00%
CASTA—A PELADA CONGELADA;kg;9.37 А;100.00%
castaсas ;kg;3.81 А;100.00%
CAYENA ENTERA;kg;7.95 А;100.00%
cebolla blanca;kg;0.76 А;100.00%
cebolla deshidratada;kg;4.01 А;100.00%
cebolla roja;kg;1.25 А;100.00%
cebolletas;manj;2.50 А;100.00%
cebollino;manj;0.70 А;100.00%
CEBOLLITA PERLA;kg;1.62 А;100.00%
centollo fresco;kg;13.42 А;100.00%
CEREEALES FIBRA;kg;3.27 А;100.00%
CEREZA AGRIA;kg;5.42 А;100.00%
CEREZA NEGRA;kg;10.49 А;100.00%
cereza roja confitada (pas);kg;5.13 А;100.00%
CEREZA ROJA/VERDE;kg;5.13 А;100.00%
cereza verde confitada (pas);kg;5.37 А;100.00%
cerezas ;kg;5.25 А;100.00%
chalotas ;bols;0.85 А;100.00%
champiсon;kg;2.10 А;100.00%
CHAMPI—ON LAMINADO;kg;1.10 А;100.00%
CHERNE CONG LOMO;Kg;12.50 А;100.00%
CHERNE ENTERO CONG;Kg;6.50 А;100.00%
cherne fresco;kg;11.50 А;100.00%
CHERNE SALADO;Kg;8.50 А;100.00%
chicharro fresco;kg;1.50 А;100.00%
chicharrones;kg;5.80 А;100.00%
chile fresco;paq;2.70 А;100.00%
chistorra;kg;5.24 А;100.00%
CHOCO LIMPIO CONG;Kg;4.50 А;100.00%
CHOCO SIN LIMPIAR CONG;Kg;5.50 А;100.00%
CHOCOLATE SOBRE INSTANTANEO;UNIDAD;0.14 А;100.00%
CHOCOLATE TAZA;kg;13.25 А;100.00%
CHOCOLATINAS;UNIDAD;0.07 А;100.00%
CHOPITOS PUNTILLA CONG;Kg;4.65 А;100.00%
chopped beef;kg;2.23 А;100.00%
chopped pavo;kg;2.75 А;100.00%
chopped pork;kg;1.61 А;100.00%
chorizo asturiano;kg;6.13 А;100.00%
chorizo cocinar;kg;4.39 А;100.00%
chorizo de cantimpalo;kg;7.50 А;100.00%
chorizo extra;kg;5.32 А;100.00%
chorizo iberico bellota;kg;10.55 А;100.00%
chorizo parrillero;kg;5.39 А;100.00%
chorizo sobrasada de untar;kg;3.64 А;100.00%
CHUFAS SECAS;kg;2.60 А;100.00%
chuleta cordero cong.;kg;5.90 А;100.00%
chuleta de cerdo cong.;kg;2.50 А;100.00%
chuleta de cerdo iberico;kg;7.50 А;100.00%
chuletero cerdo cong.;kg;3.10 А;100.00%
chuletero cerdo fresc.;kg;3.40 А;100.00%
chuletero res fresc.;kg;8.95 А;100.00%
chuletero ternera lechal;kg;22.99 А;100.00%
chupito de chocolate;unid.;0.19 А;100.00%
churros lazos;kg;1.08 А;100.00%
ciervo lomo c/hueso;kg;26.53 А;100.00%
ciervo lomo s/hueso;kg;31.50 А;100.00%
cigala cong.;kg;14.50 А;100.00%
cigala fresca ;kg;37.87 А;100.00%
CILANTRO SEMILLA;kg;4.95 А;100.00%
CILANTTRO;MANOJO;0.28 А;100.00%
ciruela amarilla ;kg;1.63 А;100.00%
CIRUELA PASA SIN HUESO;kg;3.26 А;100.00%
ciruela roja;kg;1.02 А;100.00%
CLARA LIQUIDA;kg;2.16 А;100.00%
CLAVO EN GRANO;kg;17.73 А;100.00%
CLORURO CALCICO;BOTE;12.00 А;100.00%
cobertura blanca;kg;2.86 А;100.00%
cobertura chocolate/leche;kg;7.26 А;100.00%
cobertura chocolate/negro;kg;6.69 А;100.00%
cobertura negra;kg;3.51 А;100.00%
cobertura sucedaneos;kg;3.51 А;100.00%
cochinillo cong.;kg;7.40 А;100.00%
cochinillo fresc.;kg;7.50 А;100.00%
coco;unid;1.09 А;100.00%
coco rallado;kg;4.17 А;100.00%
COCTEL DE FRUTAS ALMIBAR;kg;0.93 А;100.00%
COCTEL DE FRUTOS SECOS;kg;27.00 А;100.00%
codillo de cerdo cong.;kg;1.00 А;100.00%
codillo de cerdo horneado;kg;4.18 А;100.00%
codorniz cong.;kg;0.95 А;100.00%
codorniz fresc.;unid.;1.30 А;100.00%
cogollo lechuga;unid;1.38 А;100.00%
col;kg;1.10 А;100.00%
col bruselas cong.;kg;2.00 А;100.00%
col china;kg;0.58 А;100.00%
col morada;kg;3.40 А;100.00%
cola de pescado fresco;kg;0.70 А;100.00%
coliflor;kg;1.20 А;100.00%
coliflor color ;kg;1.50 А;100.00%
coliflor granel cong.;kg;1.19 А;100.00%
COLORANTE ALIMENTARIO;kg;4.92 А;100.00%
colorante amarillo-yema;lt;19.15 А;100.00%
colorante azul;lt;29.65 А;100.00%
colorante oro;unid.;13.67 А;100.00%
colorante pasteleria;bote;3.61 А;100.00%
colorante rojo fresa;lt;25.25 А;100.00%
colorante verde pistacho;lt;38.75 А;100.00%
colorante violeta;unid.;4.90 А;100.00%
COMINO EN GRANO;kg;6.83 А;100.00%
COMINO MOLIDO;kg;4.79 А;100.00%
concentrado de coco;kg;3.86 А;100.00%
conejo cong.;kg;2.95 А;100.00%
conejo higado-riсуn;kg;15.37 А;100.00%
conejo lomo-chuleta;kg;13.77 А;100.00%
conejos fresc.;kg;3.50 А;100.00%
confit pato fresc.;unid.;2.04 А;100.00%
confitura de frambuesa;kg;3.36 А;100.00%
CONFITURA DE TOMATE;kg;6.00 А;100.00%
congrio fresco;kg;7.50 А;100.00%
cordero cong.;kg;8.95 А;100.00%
cordero lechal;kg;12.50 А;100.00%
cordero pata cong.;kg;7.40 А;100.00%
cordero pelibuey;kg;11.00 А;100.00%
CORN FLAKES;kg;2.03 А;100.00%
CORVINA CONG;Kg;8.17 А;100.00%
CORVINA FILETE CONG;Kg;4.70 А;100.00%
costilla cerdo fresc. ;kg;3.45 А;100.00%
costilla de cerdo cong.;kg;4.25 А;100.00%
costilla de cerdo salada;kg;2.83 А;100.00%
costillar-falda ternera;kg;3.10 А;100.00%
COUS COUS;kg;3.30 А;100.00%
CREMA DE CACAO;kg;3.18 А;100.00%
CREMA DE CACAO PORCIONES;UNIDAD;0.13 А;100.00%
CREMA DE LECHE PORCION;UNIDAD;0.02 А;100.00%
CREMA DE VONAGRE BALSAM;L;6.52 А;100.00%
crema pastelera;kg;2.49 А;100.00%
CREMA PURE DE CASTA—A;kg;10.91 А;100.00%
CREPES;kg;0.30 А;100.00%
croissant cong.;kg;7.46 А;100.00%
croissant mini cong.;kg;0.20 А;100.00%
croissant variado ;unid.;0.13 А;100.00%
cuadril de ternera cong.;kg;6.70 А;100.00%
cuadril de ternera fresc.;kg;7.50 А;100.00%
CUAJADA;kg;1.88 А;100.00%
CUAJO;BOTE;5.09 А;100.00%
CURADO CURADO BALSEQUILLO;kg;7.85;100.00%
CURCUMA;kg;8.50 А;100.00%
CURRY;kg;5.94 А;100.00%
DATILES SIN HUESO;kg;3.25 А;100.00%
decorcrem blanco;kg;4.82 А;100.00%
decorcrem-crema chocolate;kg;5.31 А;100.00%
deli yema;kg;4.14 А;100.00%
DESCAFEINADO SOBRE;UNIDAD;0.08 А;100.00%
dextrosa;kg;6.28 А;100.00%
dorada fresco;kg;7.95 А;100.00%
dulce batata;kg;2.82 А;100.00%
DULCE DE GUAYABA;kg;3.72 А;100.00%
DULCE DE LECHE;kg;4.56 А;100.00%
